lastUpdated,title,url
2022-07-29 18:32:00,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk
2022-07-30 10:45:00,"Criticism of Tesla, Inc.","https://en.wikipedia.org/wiki/Criticism_of_Tesla,_Inc."
2022-07-30 01:06:00,[<Selector xpath='//h1/i/text()' data='Bloomberg Billionaires Index'>],https://en.wikipedia.org/wiki/Bloomberg_Billionaires_Index
2022-07-21 00:40:00,Hyperloop,https://en.wikipedia.org/wiki/Hyperloop
2022-06-27 01:18:00,Elon Musk's Tesla Roadster,https://en.wikipedia.org/wiki/Elon_Musk%27s_Tesla_Roadster
2022-07-30 05:39:00,Proposed acquisition of Twitter by Elon Musk,https://en.wikipedia.org/wiki/Proposed_acquisition_of_Twitter_by_Elon_Musk
2022-04-26 20:43:00,One Crew over the Crewcoo's Morty,https://en.wikipedia.org/wiki/One_Crew_over_the_Crewcoo%27s_Morty
2022-06-13 21:28:00,TSLAQ,https://en.wikipedia.org/wiki/TSLAQ
2022-07-02 10:07:00,Business magnate,https://en.wikipedia.org/wiki/Business_magnate
2022-07-13 13:42:00,Members Only (,https://en.wikipedia.org/wiki/Members_Only_(South_Park)
2022-07-19 05:11:00,Tesla Energy,https://en.wikipedia.org/wiki/Tesla_Energy
2022-06-07 11:43:00,"List of lawsuits involving Tesla, Inc.","https://en.wikipedia.org/wiki/List_of_lawsuits_involving_Tesla,_Inc."
2022-06-17 06:36:00,The Musk Who Fell to Earth,https://en.wikipedia.org/wiki/The_Musk_Who_Fell_to_Earth
2022-05-25 21:20:00,Boring Test Tunnel,https://en.wikipedia.org/wiki/Boring_Test_Tunnel
2022-05-25 21:19:00,The Platonic Permutation,https://en.wikipedia.org/wiki/The_Platonic_Permutation
2022-07-28 22:52:00,Name change,https://en.wikipedia.org/wiki/Name_change
2022-07-11 22:58:00,ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
2022-07-06 14:36:00,PubMed,https://en.wikipedia.org/wiki/PMID_(identifier)
2022-07-06 17:31:00,Digital object identifier,https://en.wikipedia.org/wiki/Doi_(identifier)
2022-07-04 17:58:00,Stock valuation,https://en.wikipedia.org/wiki/Stock_valuation
2022-07-19 22:51:00,Open-source license,https://en.wikipedia.org/wiki/Open-source_license
2022-07-18 06:55:00,Views of Elon Musk,https://en.wikipedia.org/wiki/Views_of_Elon_Musk
2022-04-07 21:38:00,Ashlee Vance,https://en.wikipedia.org/wiki/Ashlee_Vance
2022-07-16 21:11:00,arXiv,https://en.wikipedia.org/wiki/ArXiv_(identifier)
2022-06-25 20:24:00,Conflict of interest,https://en.wikipedia.org/wiki/Conflict_of_interest
2022-07-30 00:54:00,Massachusetts Institute of Technology,https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology
2022-07-30 06:50:00,NBC News,https://en.wikipedia.org/wiki/NBC_News
2022-07-29 16:58:00,[<Selector xpath='//h1/i/text()' data='Newsweek'>],https://en.wikipedia.org/wiki/Newsweek
2022-07-28 15:49:00,Vice News,https://en.wikipedia.org/wiki/Vice_News
2022-06-10 01:34:00,Al Yah Satellite Communications,https://en.wikipedia.org/wiki/Al_Yah_3
2022-04-14 09:02:00,ÑuSat,https://en.wikipedia.org/wiki/%C3%91uSat
2020-11-03 13:01:00,S-Net,https://en.wikipedia.org/wiki/S-Net
2022-07-19 14:34:00,LADbible Group,https://en.wikipedia.org/wiki/LADbible
2022-07-26 03:01:00,CSES Mission,https://en.wikipedia.org/wiki/CSES_Mission
2022-05-04 10:12:00,TRICOM-1R,https://en.wikipedia.org/wiki/TRICOM-1R
2021-07-26 15:48:00,SES-14,https://en.wikipedia.org/wiki/SES-14
2022-07-30 09:35:00,Yaogan,https://en.wikipedia.org/wiki/Yaogan
2022-06-12 09:54:00,Spire Global,https://en.wikipedia.org/wiki/Lemur-2
2022-05-09 01:15:00,[<Selector xpath='//h1/i/text()' data='Humanity Star'>],https://en.wikipedia.org/wiki/Humanity_Star
2022-06-25 18:34:00,Planet Labs,https://en.wikipedia.org/wiki/Dove_(satellite)
2022-07-02 19:55:00,Space-Based Infrared System,https://en.wikipedia.org/wiki/SBIRS
2022-07-27 16:31:00,Rocket Lab Electron,https://en.wikipedia.org/wiki/Rocket_Lab_Electron
